               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079365,            0.041797,            0.052025,             0.28672,            0.090014,            0.073335,            0.030535,            0.059884,            0.023571,            0.041099,            0.070135,           0.0033184,           0.0033184
                   1,            0.059624,            0.040275,                0.04,             0.38978,             0.20377,             0.17988,            0.073484,            0.057522,            0.022897,            0.030962,            0.040003,             0.00652,             0.00652
                   2,            0.056963,            0.038718,            0.030307,             0.41723,             0.28554,             0.23756,             0.10015,            0.053911,            0.022643,             0.02639,           0.0097391,           0.0095896,           0.0095896
                   3,            0.053927,            0.039486,            0.025656,             0.45389,             0.27668,             0.24777,              0.1023,            0.053448,            0.024268,            0.023561,            0.009406,            0.009406,            0.009406
                   4,            0.051958,            0.038069,             0.02298,             0.39923,             0.33991,             0.32441,             0.12892,            0.053194,            0.022825,            0.021663,            0.009406,            0.009406,            0.009406
                   5,            0.050474,            0.037416,            0.021093,             0.41181,             0.36254,             0.31916,             0.13461,            0.051925,            0.022736,            0.026848,            0.009208,            0.009208,            0.009208
                   6,            0.049104,            0.037434,            0.018709,             0.44997,             0.36271,             0.34383,              0.1458,            0.052505,            0.021766,            0.021343,             0.00901,             0.00901,             0.00901
                   7,            0.047361,            0.035965,            0.016948,             0.49405,             0.42532,             0.39997,             0.18567,            0.050503,             0.02228,            0.019487,            0.008812,            0.008812,            0.008812
                   8,            0.046735,             0.03639,            0.015728,              0.5012,             0.45371,             0.41882,             0.18806,            0.051293,            0.021847,            0.020983,            0.008614,            0.008614,            0.008614
                   9,            0.045461,            0.035273,            0.014403,             0.48757,             0.45859,             0.42776,             0.19545,            0.050702,            0.022158,            0.019898,            0.008416,            0.008416,            0.008416
                  10,            0.044829,            0.034937,             0.01391,             0.47836,             0.46772,             0.41565,             0.18815,            0.049934,             0.02245,            0.019066,            0.008218,            0.008218,            0.008218
                  11,            0.044285,              0.0343,            0.013522,             0.48017,              0.4707,             0.40553,             0.18293,            0.050884,            0.022582,            0.020768,             0.00802,             0.00802,             0.00802
                  12,            0.043097,            0.033614,            0.012489,             0.53712,              0.4535,             0.41984,              0.1992,            0.050722,            0.022306,            0.021378,            0.007822,            0.007822,            0.007822
                  13,            0.042402,            0.033099,            0.011619,             0.52067,             0.47248,             0.43406,             0.19689,            0.048969,            0.022047,            0.017598,            0.007624,            0.007624,            0.007624
                  14,            0.041524,            0.033016,            0.011242,             0.51394,             0.45666,             0.43913,             0.20808,            0.050146,            0.022644,            0.022232,            0.007426,            0.007426,            0.007426
                  15,            0.040857,             0.03202,            0.011046,             0.54812,             0.46325,             0.44269,             0.21174,            0.049501,            0.023049,            0.021309,            0.007228,            0.007228,            0.007228
                  16,            0.040414,            0.032153,            0.010247,             0.56652,             0.45346,             0.44536,              0.2172,             0.04956,            0.023269,            0.021445,             0.00703,             0.00703,             0.00703
                  17,            0.040326,            0.031164,             0.01001,             0.59163,             0.42801,             0.43629,             0.20287,             0.05157,            0.023968,            0.021375,            0.006832,            0.006832,            0.006832
                  18,            0.039253,            0.030974,           0.0095745,             0.56173,             0.46068,             0.43168,             0.19845,            0.050592,            0.023607,            0.023101,            0.006634,            0.006634,            0.006634
                  19,            0.038873,            0.030518,           0.0090962,             0.61054,              0.4244,             0.44538,             0.21133,            0.050917,             0.02402,            0.021127,            0.006436,            0.006436,            0.006436
                  20,            0.037942,            0.029945,           0.0087149,             0.54209,             0.48848,             0.45355,              0.2097,            0.049913,            0.023643,            0.022483,            0.006238,            0.006238,            0.006238
                  21,            0.037743,            0.029692,           0.0086588,             0.57374,             0.49956,             0.46148,             0.21721,            0.050665,            0.023914,            0.019714,             0.00604,             0.00604,             0.00604
                  22,            0.037271,            0.029268,           0.0084776,             0.55034,              0.4974,             0.46026,             0.21479,             0.05018,            0.024413,            0.019289,            0.005842,            0.005842,            0.005842
                  23,            0.036703,            0.029168,           0.0084706,             0.56664,             0.48501,             0.45604,             0.21772,            0.050806,            0.024675,            0.018428,            0.005644,            0.005644,            0.005644
                  24,            0.036458,            0.028389,           0.0081239,             0.61433,             0.46896,             0.44778,             0.21083,            0.051106,             0.02437,            0.019423,            0.005446,            0.005446,            0.005446
                  25,            0.036265,            0.028688,           0.0078556,             0.59788,             0.50904,             0.47794,             0.22284,            0.050525,            0.025322,            0.020109,            0.005248,            0.005248,            0.005248
                  26,            0.035502,            0.028136,           0.0075096,             0.57416,             0.47719,             0.45599,             0.21837,            0.050483,            0.025832,            0.021678,             0.00505,             0.00505,             0.00505
                  27,            0.035142,            0.027922,           0.0072481,             0.57738,             0.48743,             0.45922,             0.22122,            0.050027,            0.024525,            0.020506,            0.004852,            0.004852,            0.004852
                  28,            0.034562,             0.02702,            0.007088,             0.59195,             0.46776,             0.45211,              0.2237,            0.050508,            0.026148,            0.022438,            0.004654,            0.004654,            0.004654
                  29,            0.034452,            0.027016,           0.0072059,             0.59405,             0.46237,             0.45074,             0.21267,              0.0509,            0.025492,            0.019662,            0.004456,            0.004456,            0.004456
                  30,            0.033979,            0.026964,           0.0067947,             0.55264,             0.47907,             0.43373,             0.21194,            0.051153,            0.025549,            0.022352,            0.004258,            0.004258,            0.004258
